,datetime,funding_rates,BTC_price
463,2023-08-28,6e-06,26103.2765730567
464,2023-08-29,1.8e-05,27672.2221306254
465,2023-08-30,6e-05,27298.997779661
466,2023-08-31,2.7e-05,25954.8665935126
467,2023-09-01,2e-05,25802.7885298071
468,2023-09-02,6.2e-05,25868.2960976037
469,2023-09-03,7.8e-05,25962.5475689655
470,2023-09-04,2.5e-05,25799.5256870251
471,2023-09-05,5e-06,25782.3622200468
472,2023-09-06,2.2e-05,25754.7902676797
473,2023-09-07,3.7e-05,26210.6045637054
474,2023-09-08,-5e-06,25904.6982127411
475,2023-09-09,-1.3e-05,25894.6205976037
476,2023-09-10,7e-06,25831.4647802455
477,2023-09-11,2.3e-05,25135.0393781414
478,2023-09-12,2.7e-05,25859.7018068381
479,2023-09-13,2.6e-05,26226.8667524839
480,2023-09-14,-7e-06,26556.056943308
481,2023-09-15,-1.5e-05,26672.6160818235
482,2023-09-16,-1.2e-05,26555.6361031561
483,2023-09-17,1.9e-05,26502.4321189363
484,2023-09-18,-3e-06,26764.6319064874
485,2023-09-19,1.6e-05,27215.0504848042
486,2023-09-20,2e-06,27133.4037235535
487,2023-09-21,3e-06,26571.5952919345
488,2023-09-22,-9e-06,26561.13345419872
489,2023-09-23,4.4e-05,26575.776386616
490,2023-09-24,9e-06,26286.6410488019
491,2023-09-25,-3e-06,26288.8095005845
492,2023-09-26,-4.5e-05,26194.5378880772
493,2023-09-27,5.2e-05,26336.0825973115
494,2023-09-28,2.3e-05,27033.4254415546
495,2023-09-29,-3.2e-05,26911.2514739918
496,2023-09-30,4.5e-05,26977.6933126826
497,2023-10-01,2.4e-05,27950.1453594389
498,2023-10-02,4.7e-05,27565.8892954413
499,2023-10-03,4.7e-05,27439.1422393337
500,2023-10-04,6.6e-05,27797.251176505
501,2023-10-05,1e-05,27426.3450926359
502,2023-10-06,7e-06,27941.9633760959
503,2023-10-07,2.1e-05,27972.7515704266
504,2023-10-08,-2.6e-05,27936.3261157218
505,2023-10-09,1.1e-05,27591.3467618352
506,2023-10-10,7.7e-05,27419.7971803039
507,2023-10-11,6.9e-05,26828.1725710111
508,2023-10-12,0.000113,26741.3405990649
509,2023-10-13,5.3e-05,26842.4467703098
510,2023-10-14,3.3e-05,26861.9892375804
511,2023-10-15,8e-06,27130.3067092344
512,2023-10-16,-7e-06,28506.7936741671
513,2023-10-17,1.1e-05,28433.2051522501
514,2023-10-18,1.1e-05,28328.0750195792
515,2023-10-19,1.1e-05,28690.358041204
516,2023-10-20,1.1e-05,29704.9853673291
517,2023-10-21,-0.0,29922.5464044418
518,2023-10-22,1.4e-05,29984.1593196961
519,2023-10-23,7.9e-05,32954.1690482174
520,2023-10-24,6.5e-05,33880.9566537113
521,2023-10-25,0.000114,34488.6589210988
522,2023-10-26,8.9e-05,34181.4922521917
523,2023-10-27,0.000113,33896.938528346
524,2023-10-28,9.4e-05,34091.5890327294
525,2023-10-29,0.000108,34574.3377206312
526,2023-10-30,9.6e-05,34495.1050207481
527,2023-10-31,8.1e-05,34636.4264736996
528,2023-11-01,9.8e-05,35431.9794532437
529,2023-11-02,0.000132,34882.9173366452
530,2023-11-03,6.5e-05,34708.2218804792
531,2023-11-04,7e-05,35091.0763062537
532,2023-11-05,8.7e-05,35105.0420265926
533,2023-11-06,0.000128,35017.7151484512
534,2023-11-07,9e-05,35418.4768901227
535,2023-11-08,0.000136,35797.8946090006
536,2023-11-09,0.000107,36675.3264333723
537,2023-11-10,0.000126,37367.4943722969
538,2023-11-11,0.000167,36979.9312405026
539,2023-11-12,0.000172,37053.3410514319
540,2023-11-13,0.000321,36543.2680870836
541,2023-11-14,0.00015,35590.6835645821
542,2023-11-15,7.8e-05,37840.5534894798
543,2023-11-16,0.000128,36160.4044509059
544,2023-11-17,8.1e-05,36569.7120534775
545,2023-11-18,8.7e-05,36577.4249617183
546,2023-11-19,9.6e-05,37442.7285119813
547,2023-11-20,0.000105,37516.0503708358
548,2023-11-21,9.3e-05,36035.0330862069
549,2023-11-22,9.4e-05,37403.0347168323
550,2023-11-23,0.000109,37311.7192156634
551,2023-11-24,0.000101,37718.7841630625
552,2023-11-25,5.6e-05,37800.1260932203
553,2023-11-26,8.9e-05,37482.7055260082
554,2023-11-27,9.7e-05,37229.2452197545
555,2023-11-28,0.000105,37828.4655911748
556,2023-11-29,8.5e-05,37846.8531227352
557,2023-11-30,9.5e-05,37712.7114789597
558,2023-12-01,9.6e-05,38703.5536820573
559,2023-12-02,7.1e-05,39462.2799272355
560,2023-12-03,0.000112,39978.2226104617
561,2023-12-04,0.000117,41910.2994815897
562,2023-12-05,0.000111,44067.0054763296
563,2023-12-06,0.000155,43745.8343907072
564,2023-12-07,0.000102,43282.6182261835
565,2023-12-08,0.000206,44205.0522089421
566,2023-12-09,0.000115,43740.0063927528
567,2023-12-10,0.000268,43732.7120900059
568,2023-12-11,0.000225,41209.8947904734
569,2023-12-12,0.000156,41467.2735698422
570,2023-12-13,0.000181,42939.0607583285
571,2023-12-14,0.000101,43033.1371560491
572,2023-12-15,0.000105,41978.0970195792
573,2023-12-16,8.7e-05,42203.2140450029
574,2023-12-17,0.000133,41428.6657855056
575,2023-12-18,0.000135,42635.7331911163
576,2023-12-19,9.8e-05,42271.863025716
577,2023-12-20,0.000107,43644.0
578,2023-12-21,0.000236,43968.0
579,2023-12-22,0.000282,43792.0
580,2023-12-23,0.000196,43798.0
581,2023-12-24,0.000104,43057.0
582,2023-12-25,0.000151,43706.0
583,2023-12-26,0.000437,42473.0
584,2023-12-27,0.000302,43334.0
585,2023-12-28,0.000147,42619.0
586,2023-12-29,0.000526,41733.0
587,2023-12-30,0.000307,42164.0
588,2023-12-31,0.000264,42321.0
589,2024-01-01,0.000378,43552.0
590,2024-01-02,0.000604,45034.0
591,2024-01-03,0.000272,42771.0
592,2024-01-04,9.3e-05,44413.0
593,2024-01-05,8.3e-05,44020.0
594,2024-01-06,8.1e-05,43903.0
595,2024-01-07,7.9e-05,43913.0
