Date,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,funding_rate
2021-12-22,48937.097656,49544.796875,48450.941406,48628.511719,48628.511719,24447979559,0.0001
2021-12-25,50854.917969,51176.597656,50236.707031,50429.859375,50429.859375,19030650914,0.0001
2021-12-28,50679.859375,50679.859375,47414.210938,47588.855469,47588.855469,33430376883,0.0001
2022-01-04,46458.851563,47406.546875,45752.464844,45897.574219,45897.574219,42494677905,0.0001
2022-01-10,41910.230469,42199.484375,39796.570313,41821.261719,41821.261719,32104232331,0.0001
2022-01-14,42598.871094,43346.6875,41982.617188,43099.699219,43099.699219,23577403399,5.92e-06
2022-01-15,43101.898438,43724.671875,42669.035156,43177.398438,43177.398438,18371348298,2.282e-05
2022-01-16,43172.039063,43436.808594,42691.023438,43113.878906,43113.878906,17902097845,9.07e-05
2022-01-25,36654.804688,37444.570313,35779.429688,36954.003906,36954.003906,26428189594,0.0001
2022-01-26,36950.515625,38825.410156,36374.90625,36852.121094,36852.121094,31324598034,6.76e-06
2022-01-28,37128.445313,37952.878906,36211.109375,37784.332031,37784.332031,22238830523,-4.93e-06
2022-01-31,37920.28125,38647.261719,36733.574219,38483.125,38483.125,20734730465,8.927e-05
2022-02-06,41441.121094,42500.785156,41244.90625,42412.433594,42412.433594,16142097334,0.0001
2022-02-09,44096.703125,44727.800781,43232.96875,44338.796875,44338.796875,23245887300,8.216e-05
2022-02-11,43571.128906,43810.832031,42114.539063,42407.9375,42407.9375,26954925781,3.895e-05
2022-02-18,40552.132813,40929.152344,39637.617188,40030.976563,40030.976563,23310007704,-4.38e-06
2022-02-21,38423.210938,39394.4375,36950.476563,37075.28125,37075.28125,29280402798,6.5e-05
2022-02-25,38333.746094,39630.324219,38111.34375,39214.21875,39214.21875,26545599159,0.0001
2022-02-28,37706.0,43760.457031,37518.214844,43193.234375,43193.234375,35690014104,-0.00021167
2022-03-02,44357.617188,45077.578125,43432.851563,43924.117188,43924.117188,29183112630,-5.07e-06
2022-03-03,43925.195313,44021.578125,41914.75,42451.789063,42451.789063,24967782593,0.0001
2022-03-10,41974.070313,42004.726563,38832.941406,39437.460938,39437.460938,31078064711,0.0001
2022-03-18,40944.839844,42195.746094,40302.398438,41801.15625,41801.15625,34421564942,0.0001
2022-03-20,42191.40625,42241.164063,41004.757813,41247.824219,41247.824219,20127946682,0.0001
2022-03-29,47100.4375,48022.289063,47100.4375,47465.730469,47465.730469,31397059069,0.0001
2022-03-30,47456.898438,47655.148438,46746.210938,47062.664063,47062.664063,29333883962,0.0001
2022-04-01,45554.164063,46616.242188,44403.140625,46281.644531,46281.644531,38162644287,0.0001
2022-04-02,46285.5,47028.28125,45782.511719,45868.949219,45868.949219,29336594194,0.0001
2022-04-05,46624.507813,47106.140625,45544.808594,45555.992188,45555.992188,29640604055,0.0001
2022-04-08,43505.136719,43903.019531,42183.289063,42287.664063,42287.664063,27215995394,4.306e-05
2022-04-11,42201.039063,42424.589844,39373.058594,39521.902344,39521.902344,33949912166,2.43e-06
2022-04-12,39533.714844,40617.585938,39388.328125,40127.183594,40127.183594,30991500854,-6.795e-05
2022-04-17,40417.777344,40570.726563,39620.894531,39716.953125,39716.953125,19087633042,7.2e-06
2022-04-21,41371.515625,42893.582031,40063.828125,40527.363281,40527.363281,35372786395,1.77e-06
2022-04-23,39738.722656,39935.859375,39352.203125,39486.730469,39486.730469,16138021249,-9.023e-05
2022-04-28,39241.429688,40269.464844,38941.421875,39773.828125,39773.828125,33903704907,-5.716e-05
