Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,realized_volatility,exchange_netflow_proxy,funding_rate_proxy,macro_interaction_proxy
2020-03-02,8923.044398255899,822598,1.14323888576254e+20,2751150.0,619814107,6.65157867420407e+22,22.93901727,4217829.857142857,149.199997,24.940001,15.56,309.089996,153.940002,26.389999,1.691845701,19,0.0326525256456458,0.001327168889365082,0.0017187481976214322,46116.22647593001
2020-03-03,8791.1120581303,838607,1.17392986256154e+20,2749237.5,620239710,6.65157867420407e+22,24.71643759,4229668.428571428,153.889999,24.18,16.02,300.23999,156.330002,26.280001,1.691845701,19,0.027498225095000814,0.0013520691862828325,0.0017648890888327543,46203.93176086
2020-03-04,8756.9610624113,875551,1.27960653687069e+20,2747150.0,620688559,6.65157867420407e+22,24.25737051,4241507.0,154.160004,24.67,16.09,312.859985,154.669998,26.370001,1.691845701,19,0.02516994233628324,0.0014106124356643732,0.0019237636650577664,48230.49653903994
2020-03-05,9078.5787771302,790406,1.26170381684968e+20,2745112.5,621120187,6.65157867420407e+22,24.37165686,4251564.714285715,157.490005,23.74,16.299999,302.459991,158.520004,26.17,1.691845701,19,0.02771296674549479,0.001272549204716156,0.0018968486710422257,47634.425494889954
2020-03-06,9126.6368222216,806400,1.18606020580912e+20,2743175.0,621552455,6.65157867420407e+22,26.63263902,4261622.428571428,157.550003,22.41,16.18,297.459991,166.770004,26.02,1.691845701,19,0.027742459070363996,0.001297396532686851,0.0017831258771828997,46864.82247442997
2020-03-07,8925.2134877789,680471,1.2454951361425e+20,2741212.5,621927887,6.65157867420407e+22,18.53853474,4271680.142857143,157.550003,22.41,16.18,297.459991,166.770004,26.02,1.691845701,19,0.02809024739920194,0.0010941316738221774,0.001872480499964223,46864.82247442997
2020-03-08,8166.3138940249,643994,1.18458214195859e+20,2739237.5,622278381,6.65157867420407e+22,16.14238732,4281737.857142857,157.550003,22.41,16.18,297.459991,166.770004,26.02,1.691845701,19,0.03439764454877048,0.0010348969523336212,0.0017809037522965741,46864.82247442997
2020-03-09,7875.750875218299,812717,1.19502654883662e+20,2737362.5,622699656,7.1094267092888e+22,25.61204951,4291795.571428572,157.809998,17.780001000000006,15.88,274.230011,171.28999299999995,25.74,1.691845701,19,0.03470955278738358,0.0013051508735697776,0.0016809042384180735,43276.23748744998
2020-03-10,7959.2282742121,815210,1.08973179003695e+20,2735712.5,623120092,7.1094267092888e+22,27.941280100000004,4301853.285714285,154.479996,18.629999,15.73,288.420013,162.509995,26.120001,1.691845701,19,0.03514422792664632,0.001308271086851746,0.0015327984021737847,44555.12245455995
2020-03-11,7955.3062841815,717216,9.88308562089374e+19,2734225.0,623489459,7.1094267092888e+22,29.56150425,4311911.0,153.929993,17.639999,15.63,274.359985,156.529999,26.16,1.691845701,19,0.03147301114567804,0.0011503257828132745,0.0013901381960912578,42232.230570530104
2020-03-12,5800.2089048343005,917471,1.22818931333029e+20,2732337.5,623937439,7.1094267092888e+22,59.16829292,4362811.142857143,147.78999299999995,15.54,14.62,248.110001,157.5,26.440001,1.691845701,19,0.08818489352687543,0.0014704535144908976,0.0017275504250231638,36668.175311019986
2020-03-13,5672.681201031602,781820,1.03823627391915e+20,2730775.0,624311950,7.1094267092888e+22,84.31311198,4413711.285714285,143.279999,16.870001000000002,13.69,269.320007,153.940002,27.440001,1.691845701,19,0.08782927082405398,0.0012522906216996166,0.0014603656755651556,38588.17033363999
2020-03-14,5304.149952186,765687,1.05889831018393e+20,2729175.0,624664556,7.1094267092888e+22,52.86649863,4464611.428571428,143.279999,16.870001000000002,13.69,269.320007,153.940002,27.440001,1.691845701,19,0.08821165132215661,0.0012257570765708693,0.0014894285481562523,38588.17033363999
2020-03-15,5355.1873735338,643413,9.68010456080651e+19,2727687.5,624951675,7.1094267092888e+22,44.30830399,4515511.571428572,143.279999,16.870001000000002,13.69,269.320007,153.940002,27.440001,1.691845701,19,0.0888000638401278,0.0010295404040640422,0.0013615872216755536,38588.17033363999
